term,score
government,55.60533046170413
america,38.095728451563694
president,37.19176201372997
justice,34.31382804838182
bombs,27.730699747079367
wars,20.39022040226424
rights,20.212914137896725
american,19.801169590643273
nation,18.27800269905533
revolution,18.191622724107052
flag,17.562776506483598
prison,16.94937070938215
bullets,15.496567505720824
country,15.17372234935164
freedom,14.542932582291849
system,13.657991699957336
police,13.559496567505722
religion,13.359109918724847
war,13.08599033816425
law,12.741622171370455
poor,12.721062877830528
killed,12.613485179075091
cops,12.464630385036315
murder,11.892714597413658
slave,11.850316327904158
violence,10.800637958532695
folks,10.800637958532695
soldiers,10.027190738995825
jail,9.86145204909507
guns,8.73046056660328
color,8.486215538847118
children,8.0973055435298
land,7.972871687725932
evil,7.90021088526944
enemy,7.748283752860411
cop,7.748283752860411
brothers,7.401345674374125
bullet,7.309701653641899
bodies,7.1284210526315785
bomb,7.1131785272161165
shoot,7.110189796742496
drugs,7.102593440122044
gun,7.043894320782193
soldier,6.818489702517162
rich,6.811678024492669
human,6.6721332316297985
blood,6.665190325041214
power,6.641386073880353
death,6.6244868726745505
kill,6.397665484013184
history,6.380939561179163
men,6.3547075383171725
jesus,6.339504888703973
news,6.19862700228833
died,5.832041534411063
white,5.797277052499878
black,5.6778057252365555
chains,5.569078947368421
shot,5.549446471643268
against,5.549446471643268
crack,5.449342419594136
son,5.376360155046
shots,5.364196444287978
crime,5.364196444287978
fuckin,5.332152260032972
built,5.091729323308271
peace,5.0748993001191005
state,4.998892743780911
lives,4.98427609833126
kids,4.9233886346300535
fighting,4.917180073930647
killing,4.768174617144869
their,4.636268147203361
dead,4.610549009966526
theyll,4.445736579510073
feed,4.4275907159202355
business,4.379464729877624
brother,4.358409610983982
streets,4.31272397564872
family,4.291357155430382
plan,4.261556064073226
father,3.973478847620724
future,3.8500788834089
send,3.8210714397667784
fear,3.7796506111514208
tv,3.7730773057407223
theyre,3.695658375348055
people,3.6896589299335294
lines,3.6462511778166644
build,3.6462511778166644
fucking,3.6289430234915856
women,3.593406957848307
rap,3.5761309628586515
pride,3.4590552468126843
mother,3.3774570204776158
happened,3.368819022982788
born,3.364968944099379
great,3.2930205949656752
god,3.2881372228525274
pay,3.2852723112128146
hate,3.2806103911832385
earth,3.2624352643622787
fuck,3.2155377574370707
fight,3.212703019478708
paid,3.211000474158369
which,3.2061863804939637
free,3.1171256477024647
red,3.112281340061086
his,3.1042408676006743
lord,3.099313501144165
years,3.070966121560529
job,3.0463337831758883
fact,3.029404174050687
cross,3.0266733409610986
small,3.020517395182872
raise,2.9993356462685465
die,2.9581300227840184
king,2.956581958328315
truth,2.9537656295434718
ones,2.948461959053077
working,2.93495596699258
niggas,2.9317830416228583
livin,2.9056064073226544
probably,2.8911506540523924
school,2.889190551914052
pray,2.8634961695353693
called,2.810258355959735
cash,2.8073491858189903
read,2.800584488985691
nigga,2.789382151029748
rise,2.7672441974501476
hood,2.762953896368829
voice,2.7549453343503685
our,2.7089864248722493
us,2.69135998728241
young,2.6828682761842257
he,2.6814285346977607
him,2.667907226259629
eat,2.6314925953110833
being,2.624825766441312
kept,2.620743034055727
kid,2.6191381699809844
em,2.616681192335599
child,2.6150457665903892
wall,2.609948211489823
street,2.6093876556024758
skin,2.603931425141614
rather,2.60161352285824
while,2.5561348463044657
woman,2.530051837668706
smoke,2.512956892819593
burn,2.492926077007263
isnt,2.490519777705132
stand,2.4769103800127548
middle,2.458076225045372
lies,2.455442034357173
win,2.4514344076846504
whole,2.445087410284309
speak,2.4431525346857157
shit,2.4373242096376444
less,2.3689020390910813
point,2.347964773594064
rest,2.339104529165408
brain,2.3391045291654073
they,2.336284542740652
water,2.332007731443425
living,2.2901331289242597
full,2.2847503373819165
gon,2.262272628572383
million,2.224754740920316
man,2.1972744970798184
them,2.1917176164029453
scared,2.172416005474882
yall,2.1491589971437635
live,2.145358135872641
because,2.1215538847117794
sick,2.1166043422447958
who,2.109681219838231
bitch,2.107988962175259
these,2.0896326111532852
set,2.08887900547334
buy,2.0777520678061436
went,2.0537619585895066
under,2.0435034073478007
hell,2.0430797955303572
has,2.0382872575092255
an,2.032819691815089
tryna,2.03110350803137
pull,2.0280742708829265
any,2.0196027827004586
story,2.0073273971140964
past,2.006749748942265
